age,job,marital,education,default,housing,loan,y
44,services,divorced,basic.6y,no,yes,no,yes
32,admin.,married,high.school,no,yes,yes,no
36,blue-collar,married,basic.9y,no,no,no,no
46,admin.,married,high.school,no,no,yes,no
50,admin.,divorced,high.school,no,no,no,no
59,retired,divorced,university.degree,no,no,no,yes
30,admin.,single,university.degree,no,no,no,yes
35,management,married,basic.9y,no,yes,yes,no
31,admin.,single,high.school,no,yes,no,no
37,admin.,married,university.degree,no,no,no,yes
32,blue-collar,married,basic.9y,no,yes,no,no
44,blue-collar,single,high.school,no,no,no,no
28,student,married,university.degree,no,no,no,no
34,services,married,high.school,no,yes,no,no
34,admin.,single,university.degree,no,yes,no,no
28,self-employed,married,professional.course,no,yes,no,no
33,admin.,married,university.degree,no,yes,no,no
28,self-employed,single,university.degree,no,no,no,no
54,retired,married,basic.4y,no,no,yes,yes
39,technician,single,professional.course,no,no,no,yes
24,student,single,high.school,no,yes,no,yes
41,services,married,high.school,no,yes,no,no
43,management,married,professional.course,no,yes,no,no
31,self-employed,married,basic.9y,no,no,no,no
35,technician,single,university.degree,no,yes,no,yes
55,admin.,married,basic.9y,no,no,no,no
45,blue-collar,married,basic.9y,no,no,no,yes
44,admin.,single,university.degree,no,yes,no,no
46,blue-collar,divorced,basic.6y,no,no,no,no
59,housemaid,married,basic.4y,no,yes,no,no
30,admin.,single,university.degree,no,no,no,yes
35,blue-collar,married,high.school,no,no,no,yes
42,blue-collar,married,basic.6y,no,no,yes,no
37,services,married,high.school,no,yes,no,no
60,retired,divorced,professional.course,no,no,no,yes
31,admin.,single,university.degree,no,yes,no,yes
32,admin.,divorced,high.school,no,yes,no,no
29,services,single,high.school,no,no,no,no
39,blue-collar,married,basic.6y,no,yes,no,no
26,student,single,high.school,no,no,no,yes
30,entrepreneur,single,high.school,no,no,no,no
36,technician,single,university.degree,no,yes,no,no
29,admin.,single,high.school,no,no,no,no
40,housemaid,married,basic.4y,no,yes,yes,no
38,technician,married,professional.course,no,yes,yes,yes
37,management,married,university.degree,no,no,no,no
32,admin.,married,high.school,no,no,no,no
56,admin.,married,basic.9y,no,yes,no,yes
31,technician,single,university.degree,no,no,no,yes
34,blue-collar,married,basic.9y,no,no,no,no
48,retired,married,basic.9y,no,no,no,no
26,admin.,single,university.degree,no,yes,no,yes
38,services,single,high.school,no,no,no,yes
53,housemaid,married,basic.4y,no,yes,no,no
35,services,divorced,high.school,no,no,yes,no
24,admin.,single,university.degree,no,no,no,yes
41,admin.,single,university.degree,no,no,no,no
35,admin.,single,university.degree,no,yes,no,yes
38,blue-collar,married,basic.9y,no,no,no,no
36,technician,married,university.degree,no,yes,no,no
26,admin.,married,university.degree,no,no,no,no
36,admin.,single,university.degree,no,no,no,no
60,admin.,single,high.school,no,no,yes,no
37,housemaid,married,high.school,no,no,no,no
57,retired,married,basic.9y,no,yes,yes,yes
51,blue-collar,married,basic.4y,no,yes,yes,no
44,blue-collar,single,basic.4y,no,yes,no,yes
25,admin.,married,university.degree,no,no,no,yes
35,admin.,married,university.degree,no,no,no,yes
26,blue-collar,married,basic.6y,no,no,no,no
26,unemployed,single,university.degree,no,yes,no,yes
45,management,married,university.degree,no,yes,no,yes
33,technician,divorced,professional.course,no,no,no,no
37,admin.,single,high.school,no,yes,yes,no
43,admin.,married,high.school,no,no,no,no
35,technician,married,university.degree,no,no,no,yes
53,technician,divorced,university.degree,no,yes,no,no
58,entrepreneur,married,basic.4y,no,yes,no,no
59,entrepreneur,married,high.school,no,yes,no,no
47,blue-collar,married,basic.4y,no,no,no,no
33,services,single,high.school,no,no,no,no
25,self-employed,divorced,university.degree,no,yes,no,yes
43,management,married,university.degree,no,yes,no,yes
39,admin.,married,basic.9y,no,yes,no,no
25,blue-collar,single,basic.9y,no,no,yes,yes
34,technician,divorced,professional.course,no,no,no,yes
37,services,married,high.school,no,yes,yes,yes
46,unemployed,married,basic.9y,no,no,no,yes
36,services,single,basic.9y,no,yes,yes,no
51,services,married,high.school,no,yes,no,no
28,technician,single,professional.course,no,yes,no,yes
29,admin.,single,high.school,no,yes,no,yes
37,admin.,divorced,university.degree,no,yes,no,no
34,admin.,divorced,university.degree,no,no,no,yes
37,blue-collar,married,basic.4y,no,no,yes,no
36,blue-collar,married,basic.9y,no,no,no,no
71,admin.,married,basic.4y,no,yes,yes,yes
37,admin.,married,university.degree,no,no,yes,yes
29,technician,single,professional.course,no,no,no,yes
46,technician,married,professional.course,no,no,no,no
30,management,married,university.degree,no,yes,no,yes
31,blue-collar,married,basic.6y,no,yes,yes,no
35,admin.,married,university.degree,no,no,no,yes
47,blue-collar,married,basic.4y,no,yes,no,no
52,management,married,professional.course,no,yes,no,yes
54,retired,married,basic.4y,no,yes,no,yes
45,services,married,high.school,no,yes,no,no
29,admin.,single,university.degree,no,no,yes,yes
31,services,single,university.degree,no,no,no,yes
33,services,divorced,high.school,no,no,no,no
38,technician,married,professional.course,no,no,no,yes
36,management,married,basic.9y,no,yes,no,no
45,blue-collar,married,basic.9y,no,yes,no,no
31,blue-collar,single,high.school,no,no,no,yes
47,self-employed,divorced,university.degree,no,no,no,yes
73,retired,divorced,basic.4y,no,no,yes,yes
39,admin.,divorced,professional.course,no,no,no,yes
32,technician,single,professional.course,no,no,no,yes
37,management,married,university.degree,no,no,no,no
42,admin.,single,university.degree,no,yes,no,no
35,management,married,university.degree,no,no,no,no
34,services,married,high.school,no,no,yes,no
56,admin.,married,university.degree,no,no,no,yes
37,technician,married,professional.course,no,no,no,yes
51,technician,married,basic.9y,no,yes,no,no
58,admin.,married,university.degree,no,yes,no,yes
21,student,single,high.school,no,yes,no,yes
43,management,married,basic.4y,no,yes,no,no
26,services,married,high.school,no,no,no,no
46,blue-collar,married,basic.4y,no,yes,no,yes
60,entrepreneur,married,basic.4y,no,no,no,no
32,admin.,divorced,high.school,no,yes,no,no
26,admin.,single,university.degree,no,yes,no,yes
45,blue-collar,married,basic.9y,no,no,no,no
48,blue-collar,married,basic.6y,no,yes,no,no
52,technician,divorced,university.degree,no,no,yes,yes
33,services,married,professional.course,no,no,no,yes
25,self-employed,single,university.degree,no,no,no,no
34,admin.,married,university.degree,no,yes,no,yes
39,admin.,single,university.degree,no,no,yes,no
30,entrepreneur,married,professional.course,no,yes,no,yes
28,admin.,single,university.degree,no,yes,no,no
34,admin.,divorced,university.degree,no,no,no,yes
34,blue-collar,married,professional.course,no,yes,no,no
54,technician,married,basic.4y,no,no,no,no
34,management,single,university.degree,no,no,no,no
51,retired,married,university.degree,no,yes,yes,no
31,admin.,married,university.degree,no,yes,no,yes
32,unemployed,married,professional.course,no,yes,no,yes
41,admin.,divorced,university.degree,no,no,no,yes
42,technician,married,basic.9y,no,no,no,no
56,technician,married,professional.course,no,yes,yes,yes
56,housemaid,divorced,basic.4y,no,yes,no,yes
35,management,married,university.degree,no,no,no,no
28,blue-collar,single,basic.4y,no,yes,no,no
34,admin.,married,university.degree,no,no,no,yes
62,retired,married,university.degree,no,no,no,yes
51,management,married,university.degree,no,no,no,yes
31,student,single,university.degree,no,no,no,yes
33,blue-collar,single,high.school,no,no,no,no
39,blue-collar,married,basic.4y,no,no,no,no
52,admin.,married,university.degree,no,no,yes,no
35,admin.,single,university.degree,no,yes,no,yes
32,housemaid,married,high.school,no,no,no,no
37,blue-collar,married,high.school,no,no,no,no
33,admin.,married,high.school,no,yes,yes,yes
36,blue-collar,married,basic.9y,no,no,no,no
39,blue-collar,single,basic.4y,no,no,no,no
67,retired,married,basic.6y,no,no,no,yes
31,technician,divorced,professional.course,no,yes,yes,no
39,technician,married,basic.9y,no,yes,no,yes
36,blue-collar,single,high.school,no,no,no,yes
37,technician,married,university.degree,no,yes,yes,no
25,admin.,single,high.school,no,no,yes,no
37,technician,married,university.degree,no,yes,no,yes
59,retired,married,professional.course,no,no,no,yes
56,retired,married,university.degree,no,no,no,yes
60,admin.,married,high.school,no,no,no,no
31,blue-collar,single,high.school,no,no,yes,no
37,self-employed,married,basic.9y,no,yes,yes,no
29,management,married,university.degree,no,no,no,no
26,technician,divorced,university.degree,no,no,no,yes
59,retired,married,university.degree,no,no,no,yes
39,blue-collar,married,basic.6y,no,no,no,no
22,blue-collar,single,basic.9y,no,yes,yes,yes
51,blue-collar,married,basic.4y,no,yes,no,yes
88,retired,divorced,basic.4y,no,yes,no,yes
38,management,married,university.degree,no,no,no,yes
58,retired,married,basic.4y,no,yes,no,no
22,student,single,high.school,no,no,no,yes
34,technician,single,university.degree,no,no,no,yes
29,admin.,single,university.degree,no,no,no,yes
19,student,single,basic.6y,no,no,no,yes
26,student,single,high.school,no,no,no,yes
54,retired,married,basic.4y,no,yes,yes,yes
34,blue-collar,married,basic.9y,no,no,no,no
33,blue-collar,divorced,basic.9y,no,no,no,no
31,technician,married,university.degree,no,yes,no,yes
30,services,married,high.school,no,no,no,no
42,services,married,high.school,no,yes,no,yes
33,admin.,married,high.school,no,no,no,no
31,admin.,married,university.degree,no,yes,no,yes
30,self-employed,married,basic.9y,no,yes,no,no
35,technician,single,professional.course,no,yes,no,yes
52,admin.,married,basic.6y,no,yes,no,no
29,admin.,single,university.degree,no,yes,no,no
52,admin.,married,high.school,no,no,no,no
29,admin.,single,university.degree,no,no,no,yes
41,blue-collar,married,basic.6y,no,no,no,no
39,self-employed,single,university.degree,no,no,no,no
42,admin.,married,basic.4y,no,no,no,no
26,unemployed,single,university.degree,no,yes,no,yes
49,admin.,single,high.school,no,no,no,no
35,services,married,high.school,no,no,no,no
47,admin.,married,university.degree,no,no,no,yes
28,blue-collar,single,basic.4y,no,no,no,no
30,self-employed,single,university.degree,no,no,no,yes
34,admin.,single,university.degree,no,no,no,yes
45,blue-collar,single,basic.9y,no,no,no,no
47,admin.,married,high.school,no,no,no,no
36,services,single,high.school,no,yes,no,yes
39,self-employed,married,basic.9y,no,yes,no,yes
30,technician,single,professional.course,no,no,no,yes
38,entrepreneur,married,basic.4y,no,no,no,yes
33,technician,married,professional.course,no,yes,no,no
28,blue-collar,married,basic.9y,no,yes,no,yes
34,admin.,single,high.school,no,no,no,yes
32,management,single,university.degree,no,no,no,yes
33,technician,divorced,professional.course,no,yes,no,no
29,admin.,married,university.degree,no,no,yes,yes
29,services,married,basic.9y,no,yes,no,no
43,admin.,divorced,high.school,no,yes,no,yes
30,services,divorced,high.school,no,no,no,no
34,blue-collar,married,basic.9y,no,no,yes,no
25,services,divorced,high.school,no,no,no,no
36,blue-collar,single,high.school,no,no,no,no
35,blue-collar,divorced,basic.9y,no,no,yes,no
28,student,married,university.degree,no,no,yes,no
46,blue-collar,divorced,basic.9y,no,no,no,no
35,management,divorced,university.degree,no,yes,no,yes
37,technician,single,university.degree,no,yes,no,no
59,blue-collar,married,basic.4y,no,no,no,yes
32,student,married,high.school,no,yes,no,yes
26,blue-collar,married,basic.4y,no,yes,no,no
48,blue-collar,married,basic.4y,no,yes,no,no
56,unemployed,divorced,high.school,no,yes,no,no
23,services,single,high.school,no,no,no,no
59,admin.,married,university.degree,no,no,yes,no
59,retired,married,university.degree,no,no,no,no
34,blue-collar,married,basic.9y,no,no,no,yes
42,management,married,university.degree,no,no,no,no
29,entrepreneur,married,university.degree,no,yes,no,no
51,self-employed,married,basic.9y,no,yes,no,no
50,unemployed,married,professional.course,no,no,no,no
29,blue-collar,married,basic.9y,no,no,no,yes
41,admin.,married,high.school,no,no,no,no
35,services,single,basic.4y,no,no,yes,no
35,technician,married,professional.course,no,yes,no,no
33,services,married,high.school,no,yes,no,yes
31,blue-collar,married,university.degree,no,yes,no,yes
40,management,married,university.degree,no,no,no,yes
53,self-employed,married,university.degree,no,no,no,no
23,blue-collar,single,basic.9y,no,yes,no,yes
35,blue-collar,married,basic.6y,no,yes,no,no
41,admin.,divorced,university.degree,no,yes,no,yes
53,admin.,single,basic.6y,no,yes,yes,no
57,management,married,university.degree,no,yes,yes,yes
44,services,married,high.school,no,yes,no,no
45,technician,married,basic.9y,no,no,yes,yes
30,admin.,married,university.degree,no,yes,no,yes
36,admin.,married,university.degree,no,yes,no,yes
23,student,single,high.school,no,no,no,yes
48,admin.,married,high.school,no,no,no,no
39,blue-collar,married,basic.4y,no,yes,no,no
45,blue-collar,divorced,basic.9y,no,yes,no,no
41,management,married,basic.6y,no,no,no,yes
30,blue-collar,single,high.school,no,no,no,yes
31,entrepreneur,single,basic.9y,no,no,no,no
32,admin.,single,high.school,no,no,no,no
32,student,single,high.school,no,yes,no,yes
57,management,married,university.degree,no,yes,yes,yes
36,blue-collar,single,high.school,no,yes,yes,no
39,blue-collar,single,professional.course,no,no,no,no
70,retired,divorced,basic.4y,no,no,no,yes
30,entrepreneur,married,university.degree,no,no,no,yes
28,admin.,single,university.degree,no,no,no,yes
47,admin.,married,basic.9y,no,yes,no,no
33,admin.,married,university.degree,no,yes,no,no
38,self-employed,married,professional.course,no,no,no,yes
58,retired,married,high.school,no,no,no,yes
59,technician,married,professional.course,no,yes,no,yes
33,technician,divorced,professional.course,no,no,no,no
43,admin.,married,high.school,no,no,no,yes
33,technician,married,basic.9y,no,yes,no,no
28,student,single,basic.9y,no,yes,no,yes
30,self-employed,single,high.school,no,yes,no,no
52,housemaid,married,high.school,no,no,no,yes
42,retired,married,basic.4y,no,no,no,no
35,self-employed,married,university.degree,no,yes,no,no
41,blue-collar,married,basic.9y,no,no,no,no
38,self-employed,single,university.degree,no,no,yes,no
31,technician,single,professional.course,no,yes,no,yes
29,admin.,married,high.school,no,no,no,no
55,admin.,divorced,university.degree,no,yes,no,no
57,retired,married,basic.4y,no,yes,yes,yes
50,services,divorced,professional.course,no,no,no,no
24,services,single,high.school,no,yes,no,no
26,admin.,married,high.school,no,no,no,yes
44,services,married,high.school,no,yes,yes,yes
40,technician,divorced,professional.course,no,no,no,no
26,technician,single,high.school,no,yes,no,no
29,admin.,single,high.school,no,yes,yes,no
56,retired,married,basic.4y,no,yes,yes,no
26,admin.,single,high.school,no,yes,no,no
61,technician,divorced,professional.course,no,yes,no,yes
25,blue-collar,single,basic.4y,no,yes,no,no
31,admin.,single,university.degree,no,no,no,no
36,services,married,high.school,no,no,no,no
50,admin.,married,university.degree,no,yes,yes,yes
42,admin.,divorced,university.degree,no,no,no,yes
42,admin.,married,university.degree,no,no,no,no
33,admin.,married,high.school,no,no,yes,no
59,services,married,university.degree,no,yes,no,yes
35,technician,married,university.degree,no,yes,no,no
24,technician,single,high.school,no,yes,no,yes
31,admin.,married,university.degree,no,yes,no,yes
24,management,single,university.degree,no,yes,no,no
37,technician,married,professional.course,no,yes,no,no
31,admin.,single,university.degree,no,yes,yes,yes
28,blue-collar,married,basic.9y,no,yes,no,no
27,student,single,university.degree,no,no,no,yes
35,admin.,single,high.school,no,yes,no,no
35,admin.,single,basic.6y,no,yes,no,no
24,services,married,high.school,no,no,yes,no
35,admin.,married,university.degree,no,yes,no,no
39,blue-collar,married,basic.4y,no,no,yes,no
57,retired,single,professional.course,no,no,no,no
36,blue-collar,single,basic.9y,no,no,yes,yes
51,blue-collar,married,basic.4y,no,no,no,no
47,blue-collar,single,basic.4y,no,no,no,no
38,technician,single,professional.course,no,no,no,yes
44,entrepreneur,divorced,university.degree,no,yes,no,no
36,admin.,divorced,university.degree,no,yes,no,no
35,technician,single,professional.course,no,yes,no,yes
37,blue-collar,married,basic.9y,no,no,no,no
22,student,single,professional.course,no,no,no,yes
33,technician,single,university.degree,no,no,no,yes
41,self-employed,married,university.degree,no,yes,yes,no
41,technician,single,professional.course,no,yes,no,no
29,admin.,single,university.degree,no,no,no,yes
24,admin.,single,high.school,no,yes,no,yes
24,technician,single,professional.course,no,yes,no,no
43,blue-collar,married,professional.course,no,no,yes,no
52,admin.,divorced,university.degree,no,yes,no,yes
56,housemaid,married,basic.4y,no,yes,no,yes
35,blue-collar,married,basic.4y,no,yes,no,no
38,admin.,married,university.degree,no,yes,no,no
25,student,single,university.degree,no,no,no,yes
27,blue-collar,single,university.degree,no,yes,no,yes
32,admin.,single,university.degree,no,yes,no,no
32,admin.,married,university.degree,no,yes,no,no
32,admin.,single,university.degree,no,no,no,yes
41,entrepreneur,married,university.degree,no,yes,no,yes
44,technician,married,university.degree,no,yes,no,yes
50,blue-collar,married,basic.4y,no,no,yes,yes
41,blue-collar,single,high.school,no,yes,no,no
42,admin.,single,high.school,no,no,no,no
28,services,single,high.school,no,no,no,no
33,services,divorced,high.school,no,yes,yes,no
34,technician,single,professional.course,no,no,no,yes
35,blue-collar,single,professional.course,no,yes,no,no
56,management,married,basic.6y,no,no,yes,no
27,technician,married,high.school,no,no,no,no
49,housemaid,married,basic.4y,no,no,no,no
56,technician,married,basic.4y,no,no,no,yes
38,services,married,high.school,no,no,no,no
32,technician,married,professional.course,no,no,no,yes
55,retired,married,basic.4y,no,yes,no,yes
31,management,married,university.degree,no,yes,no,yes
30,services,married,basic.9y,no,yes,no,no
40,admin.,married,basic.9y,no,no,yes,no
31,blue-collar,married,professional.course,no,no,no,yes
35,technician,divorced,professional.course,no,no,no,no
31,services,single,basic.6y,no,yes,no,no
40,blue-collar,married,basic.9y,no,no,yes,yes
27,management,single,university.degree,no,yes,no,no
52,services,married,university.degree,no,no,no,no
41,technician,divorced,basic.4y,no,yes,no,no
28,services,single,high.school,no,yes,yes,no
34,technician,married,university.degree,no,no,no,no
40,admin.,divorced,professional.course,no,yes,no,yes
34,admin.,married,university.degree,no,yes,yes,no
35,admin.,married,high.school,no,no,yes,no
35,blue-collar,married,basic.4y,no,no,no,yes
21,admin.,single,basic.9y,no,yes,yes,no
23,blue-collar,single,high.school,no,no,no,yes
25,admin.,married,high.school,no,yes,no,no
43,blue-collar,single,basic.9y,no,yes,no,yes
44,self-employed,divorced,professional.course,no,yes,no,yes
34,entrepreneur,married,basic.4y,no,no,no,no
46,admin.,married,high.school,no,yes,no,yes
52,self-employed,married,university.degree,no,yes,no,no
30,self-employed,single,university.degree,no,no,no,yes
45,admin.,divorced,basic.6y,no,yes,no,no
38,blue-collar,married,professional.course,no,no,no,no
41,admin.,single,high.school,no,no,yes,no
51,blue-collar,married,basic.4y,no,yes,no,yes
36,blue-collar,single,basic.6y,no,no,no,no
34,management,married,university.degree,no,no,no,no
56,retired,divorced,basic.4y,no,yes,yes,no
40,blue-collar,married,high.school,no,no,no,no
47,admin.,married,high.school,no,yes,no,yes
36,technician,divorced,professional.course,no,no,no,no
34,admin.,divorced,university.degree,no,no,no,no
58,retired,married,basic.4y,no,no,no,yes
55,housemaid,divorced,university.degree,no,no,no,no
30,services,single,high.school,no,yes,no,yes
38,blue-collar,married,high.school,no,no,no,no
32,management,married,high.school,no,yes,no,no
34,self-employed,single,university.degree,no,no,yes,yes
36,technician,married,basic.4y,no,no,no,yes
26,blue-collar,married,basic.9y,no,no,no,yes
45,services,married,basic.9y,no,no,no,no
29,technician,single,university.degree,no,yes,no,no
54,blue-collar,married,basic.4y,no,yes,no,no
52,blue-collar,married,basic.4y,no,no,yes,no
49,entrepreneur,married,high.school,no,yes,no,no
36,services,single,basic.9y,no,yes,no,no
34,admin.,married,university.degree,no,yes,no,yes
41,admin.,single,high.school,no,yes,no,no
25,admin.,single,professional.course,no,yes,no,yes
49,admin.,divorced,basic.9y,no,yes,yes,no
40,technician,divorced,university.degree,no,yes,no,yes
43,admin.,married,university.degree,no,no,no,yes
19,student,single,basic.9y,no,yes,no,yes
49,blue-collar,divorced,high.school,no,no,no,no
62,admin.,married,high.school,no,no,no,yes
46,blue-collar,divorced,basic.9y,no,yes,no,no
26,blue-collar,married,basic.9y,no,no,no,yes
29,admin.,single,university.degree,no,yes,no,yes
29,admin.,single,high.school,no,no,no,yes
27,blue-collar,married,basic.9y,no,yes,no,no
88,retired,divorced,basic.4y,no,no,no,yes
55,retired,married,professional.course,no,yes,no,yes
41,entrepreneur,divorced,university.degree,no,yes,no,no
80,retired,married,basic.4y,no,no,no,yes
58,housemaid,single,professional.course,no,no,yes,yes
36,admin.,married,basic.9y,no,no,no,no
32,blue-collar,married,basic.4y,no,no,no,yes
46,technician,married,professional.course,no,yes,no,no
33,blue-collar,married,basic.9y,no,yes,no,no
35,blue-collar,married,basic.9y,no,yes,no,no
47,admin.,married,high.school,no,yes,no,no
59,admin.,married,basic.6y,no,yes,no,no
37,admin.,married,high.school,no,yes,no,no
51,admin.,married,university.degree,no,no,no,yes
30,admin.,married,university.degree,no,yes,yes,yes
61,retired,married,university.degree,no,yes,no,yes
20,entrepreneur,single,high.school,no,no,yes,no
64,management,married,university.degree,no,no,no,yes
28,technician,divorced,university.degree,no,no,no,no
34,admin.,single,university.degree,no,no,yes,yes
34,technician,married,professional.course,no,no,no,yes
32,blue-collar,married,basic.9y,no,yes,no,no
35,technician,married,professional.course,no,yes,no,no
34,blue-collar,married,basic.9y,no,no,no,no
40,blue-collar,married,professional.course,no,no,no,yes
34,admin.,single,university.degree,no,no,no,yes
40,blue-collar,married,basic.6y,no,yes,no,no
30,technician,single,university.degree,no,no,no,no
35,student,married,university.degree,no,yes,no,yes
37,technician,married,university.degree,no,yes,no,yes
51,admin.,single,university.degree,no,no,no,yes
37,blue-collar,married,professional.course,no,no,no,no
38,blue-collar,married,basic.9y,no,no,no,no
36,management,single,university.degree,no,yes,no,yes
43,services,married,high.school,no,no,no,no
54,management,divorced,university.degree,no,no,no,no
41,admin.,married,university.degree,no,yes,no,yes
32,admin.,single,university.degree,no,no,no,no
41,self-employed,single,university.degree,no,yes,yes,no
60,blue-collar,married,basic.4y,no,yes,no,yes
66,unemployed,single,basic.4y,no,yes,no,yes
34,admin.,married,university.degree,no,no,no,yes
50,services,single,basic.4y,no,yes,no,no
51,technician,married,professional.course,no,yes,no,no
38,blue-collar,single,basic.4y,no,yes,no,no
30,admin.,married,university.degree,no,yes,no,no
29,admin.,single,high.school,no,no,yes,no
35,technician,married,professional.course,no,yes,yes,no
38,admin.,married,high.school,no,yes,no,no
34,management,single,basic.9y,no,yes,no,no
54,admin.,married,high.school,no,yes,no,yes
34,admin.,divorced,basic.6y,no,no,no,no
60,retired,married,high.school,no,no,no,no
37,admin.,single,university.degree,no,yes,yes,no
29,services,married,high.school,no,no,yes,yes
27,admin.,single,high.school,no,no,no,yes
35,admin.,married,high.school,no,yes,no,no
46,unemployed,married,basic.9y,no,yes,yes,yes
30,admin.,married,university.degree,no,yes,no,yes
31,admin.,single,university.degree,no,yes,no,yes
32,blue-collar,married,basic.4y,no,no,no,yes
61,retired,married,basic.4y,no,yes,no,yes
29,admin.,married,high.school,no,yes,no,no
43,admin.,married,high.school,no,no,no,yes
43,admin.,married,university.degree,no,yes,no,no
32,blue-collar,married,basic.9y,no,no,no,no
47,self-employed,married,professional.course,no,no,no,no
48,unemployed,single,basic.4y,no,yes,no,no
68,retired,married,high.school,no,yes,no,yes
44,admin.,married,high.school,no,yes,yes,no
30,admin.,married,university.degree,no,yes,yes,yes
23,admin.,single,university.degree,no,no,no,no
44,management,married,university.degree,no,no,no,no
55,admin.,married,high.school,no,yes,no,no
29,technician,single,high.school,no,no,yes,yes
42,admin.,single,university.degree,no,yes,yes,yes
36,admin.,single,university.degree,no,no,no,yes
29,admin.,single,university.degree,no,no,no,no
42,admin.,married,basic.9y,no,yes,yes,no
28,blue-collar,single,basic.9y,no,no,no,yes
53,blue-collar,married,basic.6y,no,no,no,yes
41,technician,married,high.school,no,no,no,no
37,services,single,high.school,no,yes,no,yes
29,student,single,high.school,no,no,yes,yes
55,admin.,married,high.school,no,no,yes,yes
45,admin.,married,university.degree,no,yes,yes,yes
59,admin.,divorced,university.degree,no,yes,no,yes
57,unemployed,married,basic.4y,no,no,no,yes
26,student,single,high.school,no,no,no,yes
33,blue-collar,single,basic.9y,no,yes,no,no
28,services,married,high.school,no,yes,yes,no
31,services,single,basic.9y,no,no,no,yes
24,technician,married,professional.course,no,no,no,yes
51,blue-collar,divorced,basic.9y,no,no,no,no
47,services,married,professional.course,no,yes,no,no
38,technician,married,professional.course,no,yes,no,yes
26,student,single,high.school,no,yes,no,yes
34,admin.,married,university.degree,no,yes,no,yes
39,management,married,basic.6y,no,yes,no,no
37,blue-collar,married,basic.4y,no,no,no,no
40,blue-collar,married,basic.4y,no,no,no,yes
39,technician,divorced,high.school,no,no,no,yes
36,blue-collar,married,basic.9y,no,no,no,no
58,admin.,single,university.degree,no,yes,no,yes
31,technician,single,high.school,no,yes,yes,yes
32,blue-collar,single,basic.6y,no,yes,no,no
